TimeStamp, Electrode, BrainWave, Value
13:51:17.094459,F3,Theta,1.83311676303063,
13:51:17.094459,F3,Alpha,3.13401074759722,
13:51:17.094459,F3,Low_Beta,4.50364568598874,
13:51:17.094459,F3,High_Beta,4.56098141422714,
13:51:17.094459,F3,Gamma,16.1055030303195,
13:51:17.094459,F4,Theta,0.0849040319266148,
13:51:17.094459,F4,Alpha,0.0558990994798779,
13:51:17.094459,F4,Low_Beta,0.225246377003741,
13:51:17.094459,F4,High_Beta,0.154937889706351,
13:51:17.094459,F4,Gamma,0.317300340853057,
13:51:17.094459,F7,Theta,0.0698971789953002,
13:51:17.094459,F7,Alpha,0.0940591232114729,
13:51:17.094459,F7,Low_Beta,0.171569121429694,
13:51:17.094459,F7,High_Beta,0.154213647312789,
13:51:17.094459,F7,Gamma,0.346449084097,
13:51:17.094459,F8,Theta,1.60188752170136,
13:51:17.094459,F8,Alpha,2.54163539831742,
13:51:17.094459,F8,Low_Beta,3.8512928831723,
13:51:17.094459,F8,High_Beta,2.71921452911929,
13:51:17.094459,F8,Gamma,10.7252444780723,
13:51:17.094459,FC5,Theta,0.205766716878051,
13:51:17.094459,FC5,Alpha,0.0988371661175889,
13:51:17.094459,FC5,Low_Beta,0.1157414181116,
13:51:17.094459,FC5,High_Beta,0.0683346985277795,
13:51:17.094459,FC5,Gamma,0.151565046461452,
13:51:17.094459,FC6,Theta,0.954423382991453,
13:51:17.094459,FC6,Alpha,0.989120794048774,
13:51:17.094459,FC6,Low_Beta,1.50382546695892,
13:51:17.094459,FC6,High_Beta,1.14147671603295,
13:51:17.094459,FC6,Gamma,5.69516472646506,
13:51:17.094459,P7,Theta,0.725775543298505,
13:51:17.094459,P7,Alpha,0.691943093656992,
13:51:17.094459,P7,Low_Beta,0.881784000870999,
13:51:17.094459,P7,High_Beta,0.904267016085059,
13:51:17.094459,P7,Gamma,2.7795424931906,
13:51:17.094459,P8,Theta,2.82078104164616,
13:51:17.094459,P8,Alpha,1.30626734230436,
13:51:17.094459,P8,Low_Beta,2.83014651953864,
13:51:17.094459,P8,High_Beta,2.7265931556674,
13:51:17.094459,P8,Gamma,8.44935680881528,
13:51:17.094459,O1,Theta,0.56714345755449,
13:51:17.094459,O1,Alpha,0.433610402258419,
13:51:17.094459,O1,Low_Beta,0.507890492158306,
13:51:17.094459,O1,High_Beta,0.45539306054832,
13:51:17.094459,O1,Gamma,1.44165872836302,
